time,EXT_TMP,EXT_WIND_DIRECT,EXT_WIND_SPEED,INT_CO2,INT_REL_HD,INT_TMP,MAX_EXT_TMP,MIN_EXT_TMP
2021-07-01 00:00:00+00:00,19.5,90.0,0.0,558.75,80.33,22.25,20.2,19.7
2021-07-01 00:10:00+00:00,19.87,90.0,0.3,394.2,63.42,13.31,20.3,19.5
2021-07-01 00:20:00+00:00,19.75,90.0,0.31,395.0,63.82,13.22,20.0,19.5
2021-07-01 00:30:00+00:00,19.69,90.0,0.15,399.5,63.63,13.21,19.8,19.5
2021-07-01 00:40:00+00:00,19.72,90.0,0.04,399.8,63.53,13.23,19.9,19.6
2021-07-01 00:50:00+00:00,19.82,90.0,0.16,402.1,63.59,13.18,20.1,19.4
2021-07-01 01:00:00+00:00,19.0,90.0,0.0,593.08,80.67,22.0,20.1,19.3
2021-07-01 01:10:00+00:00,19.48,90.0,0.35,407.8,63.7,13.11,20.0,19.1
2021-07-01 01:20:00+00:00,19.53,90.0,0.31,409.1,63.56,13.14,19.9,19.1
2021-07-01 01:30:00+00:00,19.49,90.0,0.19,407.8,63.48,13.14,19.8,19.2
2021-07-01 01:40:00+00:00,19.46,90.0,0.04,406.3,63.42,13.12,19.7,19.2
2021-07-01 01:50:00+00:00,19.48,90.0,0.23,410.7,64.0,13.1,19.7,19.2
2021-07-01 02:00:00+00:00,19.0,90.0,0.0,625.75,81.08,22.0,19.7,19.2
2021-07-01 02:10:00+00:00,19.41,90.0,0.38,413.2,63.72,12.97,19.6,19.1
2021-07-01 02:20:00+00:00,19.28,90.0,0.57,414.1,64.11,12.9,19.7,19.0
2021-07-01 02:30:00+00:00,19.32,90.0,0.07,412.0,63.79,12.87,19.5,19.2
2021-07-01 02:40:00+00:00,19.09,90.0,0.55,411.6,64.02,12.78,19.3,18.9
2021-07-01 02:50:00+00:00,19.21,90.0,0.24,411.9,64.1,12.73,19.6,19.1
2021-07-01 03:00:00+00:00,19.0,90.0,0.0,612.75,81.42,22.0,19.3,18.7
2021-07-01 03:10:00+00:00,19.01,90.0,0.21,416.3,64.27,12.57,19.4,18.6
2021-07-01 03:20:00+00:00,18.93,90.0,0.17,419.9,64.46,12.44,19.2,18.7
2021-07-01 03:30:00+00:00,18.81,90.0,0.1,417.2,64.42,12.4,19.1,18.4
2021-07-01 03:40:00+00:00,18.68,90.0,0.0,432.9,64.11,12.43,19.0,18.5
2021-07-01 03:50:00+00:00,18.5,90.0,0.0,445.3,64.46,12.33,18.8,18.1
2021-07-01 04:00:00+00:00,19.0,90.0,0.0,520.33,82.0,22.0,18.8,18.2
2021-07-01 04:10:00+00:00,18.43,90.0,0.12,433.3,64.37,12.27,18.8,18.1
2021-07-01 04:20:00+00:00,18.23,90.0,0.09,443.6,64.23,12.22,18.4,18.0
2021-07-01 04:30:00+00:00,18.35,90.0,0.0,446.2,65.01,12.18,18.6,18.2
2021-07-01 04:40:00+00:00,18.32,90.0,0.0,454.6,64.72,12.27,18.7,17.9
2021-07-01 04:50:00+00:00,18.47,90.0,0.0,460.1,64.67,12.36,18.7,18.2
2021-07-01 05:00:00+00:00,19.0,90.0,0.0,453.92,81.17,22.0,18.8,18.1
2021-07-01 05:10:00+00:00,18.48,90.0,0.09,463.2,64.7,12.54,18.8,18.3
2021-07-01 05:20:00+00:00,18.34,90.0,0.33,454.9,65.41,12.52,18.6,17.9
2021-07-01 05:30:00+00:00,18.35,90.0,0.28,453.4,64.74,12.6,18.5,18.2
2021-07-01 05:40:00+00:00,18.3,90.0,0.59,448.1,64.53,12.66,18.7,18.0
2021-07-01 05:50:00+00:00,18.39,90.0,0.54,444.2,64.66,12.74,18.8,17.9
2021-07-01 06:00:00+00:00,19.5,90.0,0.0,379.33,79.67,22.0,18.6,18.2
2021-07-01 06:10:00+00:00,18.6,90.0,0.31,436.6,64.62,12.88,18.8,18.4
2021-07-01 06:20:00+00:00,18.57,90.0,0.15,426.0,64.72,12.98,18.9,18.3
2021-07-01 06:30:00+00:00,18.75,90.0,0.22,417.2,64.2,13.19,19.0,18.4
2021-07-01 06:40:00+00:00,18.95,90.0,0.12,410.4,63.89,13.29,19.2,18.6
2021-07-01 06:50:00+00:00,19.11,90.0,0.37,404.3,63.65,13.41,19.5,18.8
2021-07-01 07:00:00+00:00,20.0,90.0,0.48,355.5,77.58,22.33,19.9,19.0
2021-07-01 07:10:00+00:00,20.02,270.0,0.19,389.7,62.86,13.63,20.3,19.9
2021-07-01 07:20:00+00:00,20.39,270.0,0.33,382.2,62.61,13.81,20.7,20.1
2021-07-01 07:30:00+00:00,20.69,270.0,0.16,372.8,62.63,13.99,20.8,20.6
2021-07-01 07:40:00+00:00,21.06,270.0,0.29,365.8,62.44,14.26,21.2,20.8
2021-07-01 07:50:00+00:00,21.33,270.0,0.18,362.2,61.87,14.42,21.7,21.1
2021-07-01 08:00:00+00:00,21.08,270.0,1.04,331.75,75.75,23.33,21.8,21.0
2021-07-01 08:10:00+00:00,22.07,270.0,0.23,355.9,60.62,14.78,22.4,21.6
2021-07-01 08:20:00+00:00,22.03,270.0,0.43,351.8,59.83,15.01,22.3,21.7
2021-07-01 08:30:00+00:00,22.07,270.0,0.8,342.4,58.95,15.39,22.9,21.3
2021-07-01 08:40:00+00:00,22.91,270.0,0.75,340.0,57.5,15.88,23.5,22.1
2021-07-01 08:50:00+00:00,22.24,270.0,0.84,349.7,57.9,15.9,23.0,21.6
2021-07-01 09:00:00+00:00,23.17,270.0,1.57,302.0,72.0,25.75,23.5,22.1
2021-07-01 09:10:00+00:00,24.46,270.0,0.35,331.0,57.09,16.35,24.9,23.8
2021-07-01 09:20:00+00:00,24.43,270.0,0.67,330.2,55.6,16.92,25.1,23.8
2021-07-01 09:30:00+00:00,24.15,270.0,1.02,329.2,54.99,17.25,24.4,23.7
2021-07-01 09:40:00+00:00,24.11,270.0,0.75,331.9,53.95,17.35,24.5,23.7
2021-07-01 09:50:00+00:00,24.62,270.0,0.73,334.5,53.45,17.53,25.2,24.2
2021-07-01 10:00:00+00:00,24.92,270.0,2.02,257.0,66.58,28.58,27.0,24.4
2021-07-01 10:10:00+00:00,26.72,270.0,0.69,319.6,52.01,18.46,27.4,25.8
2021-07-01 10:20:00+00:00,25.62,270.0,1.04,326.5,51.23,18.81,26.2,25.3
2021-07-01 10:30:00+00:00,26.76,270.0,0.62,316.5,49.66,19.29,27.4,25.6
2021-07-01 10:40:00+00:00,26.8,270.0,0.97,314.7,48.07,19.7,27.7,26.1
